City/Town,Ward,Pct,TRAHAN,KOH,L'ITALIEN,MATIAS,GIFFORD,CHANDLER,DAS,BALLINGER,MALONE,GOLDER,TOT,P_KohMatias,P_TRAHAN,P_KOH,P_L'ITALIEN,P_MATIAS,P_GIFFORD,P_CHANDLER,P_DAS,P_BALLINGER,P_MALONE,P_GOLDER,CVAP,CVAPHISP,CVAPWHITE,CVAPASIAN,CVAPOTHER
Lowell,1,1,88,15,10,29,38,5,8,10,9,1,213,0.20657277,0.41314554,0.070422535,0.046948357,0.136150235,0.178403756,0.023474178,0.037558685,0.046948357,0.042253521,0.004694836,1881.525212,0.225314455,0.623547474,0.096828114,0.054309957
Lowell,1,2,516,78,58,24,156,10,27,20,16,2,907,0.112458655,0.56890849,0.085997795,0.063947078,0.02646086,0.17199559,0.011025358,0.029768467,0.022050717,0.017640573,0.002205072,2533.055077,0.04298142,0.921471923,0.012409328,0.023137329
Lowell,1,3,367,87,48,19,144,12,37,8,15,4,741,0.143049933,0.495276653,0.117408907,0.064777328,0.025641026,0.194331984,0.016194332,0.049932524,0.010796221,0.020242915,0.005398111,2191.971868,0.059528936,0.835250312,0.092580846,0.012639906
Lowell,2,1,33,13,11,25,21,6,6,2,5,0,122,0.31147541,0.270491803,0.106557377,0.090163934,0.204918033,0.172131148,0.049180328,0.049180328,0.016393443,0.040983607,0,2887.862561,0.148445805,0.637301091,0.103380457,0.110872646
Lowell,2,2,29,17,14,50,34,8,6,13,21,1,193,0.347150259,0.150259067,0.088082902,0.07253886,0.259067358,0.176165803,0.041450777,0.031088083,0.067357513,0.10880829,0.005181347,2549.40412,0.412791999,0.383041949,0.119410312,0.08475574
Lowell,2,3,106,68,28,77,113,41,21,8,25,3,490,0.295918367,0.216326531,0.13877551,0.057142857,0.157142857,0.230612245,0.083673469,0.042857143,0.016326531,0.051020408,0.006122449,2511.462344,0.247002513,0.570226115,0.082403488,0.100367884
Lowell,3,1,115,27,12,19,75,9,13,3,26,0,299,0.153846154,0.384615385,0.090301003,0.040133779,0.063545151,0.25083612,0.030100334,0.043478261,0.010033445,0.086956522,0,1970.96543,0.121399264,0.579155374,0.177753554,0.121691808
Lowell,3,2,61,20,6,19,77,9,4,2,43,0,241,0.161825726,0.253112033,0.082987552,0.024896266,0.078838174,0.319502075,0.037344398,0.01659751,0.008298755,0.178423237,0,1792.565845,0.100985181,0.441958197,0.404048088,0.053008534
Lowell,3,3,71,16,12,8,76,9,3,13,51,3,262,0.091603053,0.270992366,0.061068702,0.045801527,0.030534351,0.290076336,0.034351145,0.011450382,0.049618321,0.194656489,0.011450382,1755.93926,0.101513889,0.458896772,0.375593783,0.063995556
Lowell,4,1,121,37,9,17,111,11,9,12,61,3,391,0.138107417,0.309462916,0.094629156,0.023017903,0.043478261,0.283887468,0.028132992,0.023017903,0.030690537,0.15601023,0.007672634,2253.639954,0.138142616,0.402048086,0.422676643,0.037132656
Lowell,4,2,32,25,6,9,42,5,6,10,57,0,192,0.177083333,0.166666667,0.130208333,0.03125,0.046875,0.21875,0.026041667,0.03125,0.052083333,0.296875,0,1930.877401,0.148568216,0.345308151,0.434684093,0.07143954
Lowell,4,3,47,16,17,27,38,9,9,9,19,1,192,0.223958333,0.244791667,0.083333333,0.088541667,0.140625,0.197916667,0.046875,0.046875,0.046875,0.098958333,0.005208333,2418.447252,0.190602183,0.41394816,0.31873962,0.076710037
Lowell,5,1,101,29,14,19,48,2,14,4,14,0,245,0.195918367,0.412244898,0.118367347,0.057142857,0.07755102,0.195918367,0.008163265,0.057142857,0.016326531,0.057142857,0,2382.566396,0.090393084,0.773805234,0.100573265,0.035228417
Lowell,5,2,61,17,6,25,39,6,6,7,10,0,177,0.237288136,0.344632768,0.096045198,0.033898305,0.141242938,0.220338983,0.033898305,0.033898305,0.039548023,0.056497175,0,2274.490089,0.251719763,0.651589354,0.060847938,0.035842946
Lowell,5,3,113,21,15,13,31,9,6,9,16,1,234,0.145299145,0.482905983,0.08974359,0.064102564,0.055555556,0.132478632,0.038461538,0.025641026,0.038461538,0.068376068,0.004273504,2064.684705,0.189435789,0.723396797,0.02863689,0.058530524
Lowell,6,1,153,37,25,17,78,9,20,17,14,1,371,0.145552561,0.412398922,0.099730458,0.067385445,0.045822102,0.210242588,0.02425876,0.053908356,0.045822102,0.037735849,0.002695418,2345.570642,0.123019367,0.751630212,0.07936145,0.045988971
Lowell,6,2,160,42,30,12,84,13,22,9,16,2,390,0.138461538,0.41025641,0.107692308,0.076923077,0.030769231,0.215384615,0.033333333,0.056410256,0.023076923,0.041025641,0.005128205,2425.886412,0.157586352,0.629103067,0.132546828,0.080763753
Lowell,6,3,146,33,25,12,51,16,51,7,11,1,353,0.127478754,0.413597734,0.093484419,0.07082153,0.033994334,0.144475921,0.045325779,0.144475921,0.019830028,0.031161473,0.002832861,2883.425312,0.217050365,0.513107222,0.219889351,0.049953062
Lowell,7,1,56,18,9,23,32,11,5,9,21,1,185,0.221621622,0.302702703,0.097297297,0.048648649,0.124324324,0.172972973,0.059459459,0.027027027,0.048648649,0.113513514,0.005405405,2322.64338,0.176876845,0.550571375,0.224459442,0.048092338
Lowell,7,2,43,29,16,36,70,15,6,8,22,0,245,0.265306122,0.175510204,0.118367347,0.065306122,0.146938776,0.285714286,0.06122449,0.024489796,0.032653061,0.089795918,0,2420.692324,0.233087768,0.379439726,0.326020333,0.061452173
Lowell,7,3,32,12,3,10,42,5,7,10,37,1,159,0.13836478,0.201257862,0.075471698,0.018867925,0.062893082,0.264150943,0.031446541,0.044025157,0.062893082,0.232704403,0.006289308,1834.828779,0.184387373,0.316351251,0.377475055,0.121786321
Lowell,8,1,112,18,21,21,78,12,12,5,11,0,290,0.134482759,0.386206897,0.062068966,0.072413793,0.072413793,0.268965517,0.04137931,0.04137931,0.017241379,0.037931034,0,1650.153695,0.245003405,0.555110575,0.108825784,0.091060236
Lowell,8,2,146,25,16,18,103,20,13,6,27,1,375,0.114666667,0.389333333,0.066666667,0.042666667,0.048,0.274666667,0.053333333,0.034666667,0.016,0.072,0.002666667,2210.932148,0.089416888,0.565316438,0.305002239,0.040264434
Lowell,8,3,366,62,54,20,164,9,17,16,46,3,757,0.108322325,0.48348745,0.081902246,0.071334214,0.026420079,0.21664465,0.011889036,0.022457067,0.021136063,0.060766182,0.003963012,2412.088644,0.017541786,0.722776432,0.222476166,0.037205616
Lowell,9,1,81,27,11,30,53,8,3,4,10,0,227,0.251101322,0.356828194,0.118942731,0.04845815,0.13215859,0.233480176,0.035242291,0.013215859,0.017621145,0.044052863,0,1863.246403,0.245636396,0.500495941,0.139792872,0.114074791
Lowell,9,2,158,36,28,26,92,20,11,7,15,3,396,0.156565657,0.398989899,0.090909091,0.070707071,0.065656566,0.232323232,0.050505051,0.027777778,0.017676768,0.037878788,0.007575758,2213.715135,0.154931083,0.713444484,0.059962694,0.071661738
Lowell,9,3,124,42,15,27,52,7,2,1,13,1,284,0.242957746,0.436619718,0.147887324,0.052816901,0.095070423,0.183098592,0.024647887,0.007042254,0.003521127,0.045774648,0.003521127,2690.091533,0.238381899,0.656855463,0.027140045,0.077622593
Lowell,10,1,96,32,15,14,56,13,8,9,42,0,285,0.161403509,0.336842105,0.112280702,0.052631579,0.049122807,0.196491228,0.045614035,0.028070175,0.031578947,0.147368421,0,1881.332333,0.168429263,0.49216247,0.26522441,0.074183857
Lowell,10,2,34,17,6,17,21,3,8,5,7,1,119,0.285714286,0.285714286,0.142857143,0.050420168,0.142857143,0.176470588,0.025210084,0.067226891,0.042016807,0.058823529,0.008403361,1665.66298,0.280735899,0.526393391,0.138564963,0.054305747
Lowell,10,3,29,8,6,27,18,12,7,3,1,0,111,0.315315315,0.261261261,0.072072072,0.054054054,0.243243243,0.162162162,0.108108108,0.063063063,0.027027027,0.009009009,0,1618.878803,0.271552627,0.486893415,0.11649379,0.125060168
Lowell,11,1,108,31,12,19,53,16,11,5,23,3,281,0.177935943,0.384341637,0.110320285,0.042704626,0.067615658,0.1886121,0.056939502,0.039145907,0.017793594,0.081850534,0.010676157,2082.94612,0.195152592,0.514985765,0.180533624,0.109328019
Lowell,11,2,127,34,30,20,62,17,8,9,6,2,315,0.171428571,0.403174603,0.107936508,0.095238095,0.063492063,0.196825397,0.053968254,0.025396825,0.028571429,0.019047619,0.006349206,2695.721708,0.160448172,0.707044135,0.071780939,0.060726755
Lowell,11,3,149,40,27,18,70,11,11,12,9,0,347,0.167146974,0.429394813,0.115273775,0.077809798,0.051873199,0.201729107,0.031700288,0.031700288,0.034582133,0.025936599,0,2132.726135,0.119181498,0.75996685,0.083904775,0.036946877
